LIBRARY,WELL,NAME,CLASS.TFE,CLASS.1,BLOCK.1
TEST1,A1,WT1,control,1,1
TEST1,A2,WT2,control,1,1
TEST1,A3,WT3,control,1,1
TEST1,A4,WT4,control,1,1
TEST1,A5,WT5,control,1,1
TEST1,A6,WT6,control,1,1
TEST1,A7,WT7,control,1,1
TEST1,A8,WT8,control,1,1
TEST1,B1,MT1,case,2,1
TEST1,B2,MT2,case,2,1
TEST1,B3,MT3,case,2,1
TEST1,B4,MT4,case,2,1
TEST1,B5,MT5,case,2,1
TEST1,B6,MT6,case,2,1
TEST1,B7,MT7,case,2,1
TEST1,B8,MT8,case,2,1
TEST2,A1,MT9,case,2,2
TEST2,A2,MT10,case,2,2
TEST2,A3,MT11,case,2,2
TEST2,A4,MT12,case,2,2
TEST2,A5,MT13,,2,2
TEST2,A6,NA,,NA,NA
TEST2,A7,MT14,case,2,2
TEST2,A8,MT15,case,2,2
TEST2,C1,WT9,control,1,2
TEST2,C2,WT10,control,1,2
TEST2,C3,WT11,control,1,2
TEST2,C4,WT12,control,1,2
TEST2,C5,WT13,control,1,2
TEST2,C6,WT14,control,1,2
TEST2,C7,WT15,control,1,2
TEST2,C8,WT16,control,1,2
